fr,en,tr,de,es,title,speaker,duration,tags
"
											Non, on dirait n'importe quoi. On dirait n'importe quoi avec un type qui tient
											le n’importe quoi entre ses mains. Bon.
											Eh bien, c'est ça le jonglage, non ?
											C'est être capable de faire quelque chose que les autres ne peuvent pas faire ou comprendre.
											Très bien. Donc, c'est une façon de le faire, lancer cinq balles vers le bas.
											OK ? Une autre façon, c'est par l'extérieur.
											Et on peut jouer avec le rythme.
											Même figure.
											Plus rapide et plus compacte.
											Plus large.
											Plus étroite.
											Retour au début.
											OK. C'est fini. Merci.
									","
											No, it looks like a mess. It looks like a mess with a guy there,
											who's got his hands around that mess, OK.
											Well, that's what juggling is about, right?
											It's being able to do something that other people can't do or can't understand.
											All right. So, that's one way of doing it, which is five balls down.
											OK? Another way is the outside.
											And you could play with the rhythm.
											Same pattern.
											Make it faster and smaller.
											Make it wider.
											Make it narrower.
											Bring it back up.
											OK. It's done. Thanks.
									","
											bir karmaşa gibi görünüyor. Bir karmaşa ve
											bu karmaşanın etrafında elleri olan bir adam, değil mi?
											İşte, jonglörlük tam da budur, değil mi?
											Diğer insanların yapamadıklarını ve anlamadıklarını yapabilmek.
											Tamam. Bunu yapmanın bir yolu var: beş top aşağı.
											Tamam mı? Diğer yolu da dışa doğrudur.
											Ve ritimle oynayabilirsiniz.
											Aynı doku.
											Daha hızlı yapın ve daha küçük.
											Daha geniş.
											Daraltın.
											Tekrar yukarı çıkarın.
											Tamam. Olmuştur. Teşekkürler.
									","
											Nein, es schaut aus wie ein Durcheinander. Es sieht aus wie ein Durcheinander mit einem Typen
											der seine Hände total durcheinander gebracht hat. Ok.
											Na ja, darum geht es beim Jonglieren, oder?
											Es geht darum, etwas zu können, das andere nicht können oder nicht verstehen.
											Also gut. Dies ist der eine Weg, es zu tun, nähmlich fünf Bälle nach unten.
											OK? Eine andere Möglichkeit ist nach aussen.
											Und Sie können mit dem Rhythmus spielen.
											Gleiches Muster.
											Machen Sie es schneller und kleiner.
											Machen Sie es breiter.
											Machen Sie es schmaler.
											Bringen Sie es wieder hoch.
											Ok, es ist geschafft. Danke.
									","
											No, parece un desorden. Parece un desorden con un tipo allí
											que agita sus manos en el desorden, bien.
											Bien, los malabares son eso, ¿correcto?
											Ser capaces de hacer algo que otra gente no puede o no comprende.
											Correcto. Esa es una manera de hacerlo, con cinco pelotas para abajo.
											¿Bien? Otra forma es hacia afuera.
											Y se puede jugar con el ritmo.
											Mismo patrón.
											Hacerlo más rápido y pequeño.
											Hacerlo más amplio.
											Hacerlo más angosto.
											Volver al inicio.
											Bien. Ya está. Gracias.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Maintenant, ce à quoi je voulais arriver, c'est au fait que vous êtes tous très brillants, très tactiles.
											Je ne sais pas à quel point vous êtes à l'aise avec les ordinateurs ou avec la vision dans l’espace,
											mais essayons quelque chose.
											OK, puisque vous ne comprenez pas tous la structure à cinq balles,
											je vais vous donner un petit indice.
											Suffisant, comme indice? Comme ça, vous comprenez la structure, non ? OK.
									","
											Now, what I wanted to get to is that you're all very bright, very tactile.
											I have no idea how computer-oriented or three-dimensionally-oriented you are,
											but let's try something.
											OK, so since you all don't understand what the five-ball pattern is,
											I'm going to give you a little clue.
											Enough of a clue? So, you get the pattern, right? OK.
									","
											Şimdi, varmak istediğim nokta hepinizin çok harika ve yetenekli olduğunuz.
											Ne kadar bilgisayara veya üç boyuta yönelik olduğunuzu bilmiyorum,
											ancak birşey deneyelim.
											Tamam, hiçbiriniz beş toplu dokuyu bilmediğinize göre,
											Size bir küçük ipucu vereceğim.
											Yeterince ipucu oldu mu? Şimdi dokuyu anladınız, değil mi? Tamam.
									","
											Was ich jetzt erreichen will, ist, dass Sie alle sehr aufgeweckt sind, sehr taktil.
											Ich habe keine Ahnung wie computerorientiert oder dreidimensional orientiert Sie sind,
											aber lassen Sie uns etwas versuchen.
											Ok, weil Sie alle nicht verstehen, was ein Fünf-Ball-Muster ist,
											gebe ich Ihnen einen kleinen Hinweis.
											Reicht dieser Hinweis? Sie verstehen das Bewegungsmuster, nicht wahr? OK.
									","
											Lo que quiero probar ahora es que Uds. son todos brillantes, muy táctiles.
											No tengo idea de cuán buenos sean con las computadoras o las tres dimensiones
											pero probemos algo.
											Bien, dado que no comprenden qué es el patrón de las cinco pelotas
											les voy a dar una pequeña pista.
											¿Suficiente con la pista? ¿Entendieron el patrón, no? Bien.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Vous ne vous en tirerez pas si facilement. D'accord ?
											Maintenant, faites quelque chose pour moi. Suivez la balle que je vous demande de suivre.
											Verte.
											Jaune.
											Rose.
											Blanche.
											OK, vous y arrivez ? Oui ? OK.
									","
											You're not getting off that easy. All right?
											Now, do me a favor: follow the ball that I ask you to follow.
											Green.
											Yellow.
											Pink.
											White.
											OK, you can do that? Yeah? OK.
									","
											Bu kadar çabuk kurtulamazsınız. Tamam mı?
											Şimdi bana bir iyilik yapın. Söylediğim topu izleyin.
											Yeşil
											Sarı
											Pembe
											Beyaz
											Tamam, bunu yapabiliyorsunuz. Güzel.
									","
											Sie kommen da nicht so leicht davon. Alles in Ordnung?
											Jetzt tun Sie mir einen Gefallen. Folgen Sie dem Ball, dem Ich Sie zu folgen bitte.
											Grün.
											Gelb.
											Rosa.
											Weiss.
											OK, sie können das? Ja? Ok.
									","
											¿Uds no abandonan tan fácilmente, correcto?
											Ahora, háganme un favor. Sigan la pelota que yo les diga.
											Verde.
											Amarilla.
											Rosa.
											Blanca.
											Bien. ¿Pueden hacerlo? ¿Sí? Bien.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Maintenant, apprenons vraiment quelque chose.
											En fait, laissez-moi vous placer dans cette zone de l'apprentissage, qui est très précaire.
											Vous voulez le faire ? Oui ? OK.
											Les mains devant vous. Paumes vers le haut. Ensemble.
											Voici ce que vous allez apprendre.
									","
											Now, let's actually learn something.
											Actually, let me put you in that area of learning, which is very insecure.
											You want to do it? Yeah? OK.
											Hands out in front of you. Palms up, together.
											What you're going to learn is this.
									","
											Şimdi, gerçekten birşey öğrenelim.
											Şimdi sizi bu öğrenme alanına çekeyim, burası çok güvensizdir.
											Bunu yapmak ister misiniz? Evet? Tamam.
											Elleriniz önde, avuçlar yukarı, bitişik.
											Öğreneceğiniz şey bu.
									","
											Jetzt lassen Sie uns tatsächlich etwas lernen.
											Das heisst, lassen Sie sich von mir in eine Lernregion bringen, die sehr unsicher ist.
											Wollen Sie es versuchen? Ja? Also gut.
											Hände vorstrecken. Innenflächen nach oben. Zusammen.
											Was Sie jetzt lernen werden ist Folgendes:
									","
											Ahora aprendamos algo.
											Déjenme que los lleve a ese área del aprendizaje que es muy inseguro.
											¿Quieren hacerlo? ¿Sí? Bien.
											Levanten las manos. Arriba las palmas. Juntas.
											Van a aprender esto.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											OK? Donc ce que je veux vous fassiez, c'est juste m'écouter et le faire.
											Index, majeur, annulaire, petit doigt.
											Petit doigt, annulaire, majeur, index. Puis vous ouvrez.
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt.
											Un peu plus vite.
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt.
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt.
									","
											OK? So what I want you to do is just listen to me and do it.
											Index finger, middle finger, ring, little.
											Little, ring, middle, index. And then open.
											Finger, finger, finger, finger, finger, finger, finger, finger.
											A little bit faster.
											Finger, finger, finger, finger, finger, finger, finger, finger.
											Finger, finger, finger, finger, finger, finger, finger, finger.
									","
											Tamam mı? Istediğim beni dinlemeniz ve yapmanız.
											İşaret parmağı, orta parmak, yüzük parmağı, küçük parmak
											küçük, yüzük, orta, işaret. Ve sonra açın.
											parmak, parmak, parmak, parmak, parmak, parmak, parmak, parmak.
											Biraz daha hızlı.
											Parmak, parmak, parmak, parmak, parmak, parmak, parmak, parmak.
											Parmak, parmak, parmak, parmak, parmak, parmak, parmak, parmak.
									","
											OK? Was ich jetzt von Ihnen will, ist, dass Sie auf mich hören und es machen.
											Zeigfinger, Mittelfinger, Ringfinger, kleiner Finger.
											Kleiner, ring, mittel, zeige. Und dann öffnen.
											Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger.
											Ein wenig schneller.
											Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger.
											Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger.
									","
											¿Bien? Quiero que me escuchen y hagan esto.
											Índice, medio, anular, meñique.
											Meñique, anular, medio, índice. Y después abren.
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo.
											Un poco más rápido.
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo.
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Bon. Je vois beaucoup de processus d'apprentissage différents ici.
									","
											All right. A lot of different learning processes going on in here.
									","
											Tamam. Burada birçok öğrenme süreci işliyor.
									","
											Gut. Da sind grad verschiedenste Lernprozesse im Gang.
									","
											Bien. Hubo muchos y diversos procesos de aprendizaje en esto.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Un processus d'apprentissage que je vois, c'est ceci —
									","
											One learning process that I see is this —
									","
											Gördüğüm bir öğrenme süreci bu -
									","
											Ein Lernprozess, den ich sehe ist der -
									","
											Uno que vi es éste...
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											OK ? Un autre processus d'apprentissage que je vois, c'est —
									","
											OK. Another learning process that I see is this —
									","
											Tamam. Gördüğüm diğer öğrenme süreci de bu -
									","
											OK, ein anderer Lernprozess, den ich sehe, ist der -
									","
											Bien. Otro proceso de aprendizaje que vi es éste...
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											OK ? Donc, tout le monde, on inspire profondément, et on expire. OK.
											Bon, encore une fois, et —
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt. Ouvert.
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt. OK.
											Secouez vos mains.
									","
											OK. So, everybody take a deep breath in, breath out. OK.
											Now, one more time, and —
											finger, finger, finger, finger, finger, finger, finger, finger. Open.
											Finger, finger, finger, finger, finger, finger, finger, finger. OK.
											Shake your hands out.
									","
											Tamam, herkes derin bir nefes alsın, versin. Tamam.
											Şimdi, bir kez daha, ve -
											parmak, parmak, parmak, parmak, parmak, parmak, parmak. Açın.
											parmak, parmak, parmak, parmak, parmak, parmak, parmak. Tamam.
											Ellerinizi sallayın.
									","
											Ok, atmen Sie alle tief ein, und aus. OK.
											Jetzt noch mal, und -
											Finger, Finger, Finger, Finger, Finger, Finger, Finger. Öffnen.
											Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger. Gut.
											Schütteln Sie Ihre Hände aus.
									","
											Bien. Todo el mundo aspire hondo, y espiren. Bien.
											Ahora, una vez más, y...
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo. Abran.
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo. Abran.
											Estréchense las manos.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Donc, je suppose que beaucoup d'entre vous passent beaucoup de temps devant un ordinateur ?
											OK ? Donc ce que vous faites c'est : la la la,
											et vous obtenez ceci. OK ?
											Donc, c'est exactement ce que je vais vous demander de faire
											mais d'une façon légèrement différente. Vous allez mélanger les deux.
											Donc ce que je veux vous faire faire c'est, avec les doigts
											Je vais vous dire quoi faire avec vos doigts, pareil.
											Mais ce que je veux que vous utilisiez vos yeux,
											pour suivre la balle de la couleur que je vous demande de suivre.
									","
											Now, I assume a lot of you spend a lot of time at a computer.
											OK? So, what you're doing is, you're going la, la, la,
											and you're getting this. OK?
											So that's exactly what I'm going to ask you to do,
											but in a slightly different way. You're going to combine it.
											So what I want you to do is — fingers.
											I'll tell you what to do with your fingers, same thing.
											But I want you to do is also, with your eyes,
											is follow the colored ball that I ask you to follow.
									","
											Birçoğunuzun bilgisayar başında çok zaman geçirdiğinizi tahmin ediyorum.
											Tamam? evet, yaptığınız şey şu, la la la,
											ve gördüğünüz bu. Tamam?
											Yapmanızı istediğim şey de tam olarak bu,
											ama biraz değişik olarak. Birleştireceksiniz.
											Yapmanızı istediğim şu - parmaklar.
											Parmaklarınızla ne yapmanızı söyleyeceğim, aynı şey.
											Ancak aynı zamanda yapmanızı isteyeceğim birşey daha var, gözlerinizle,
											izlemenizi istediğim renkli topu takip edin.
									","
											Jetzt nehme ich an, dass viele unter Ihnen schon viel Zeit am Comptuer verbracht haben.
											Ja? Da machen Sie doch dies, sie machen la la la.
											und Sie erhalten dies, ok?
											Das ist genau, was ich Sie bitte zu tun.
											aber auf leicht andere Art. Sie werden es kombinieren.
											Was ich von Ihnen will, ist, dass Sie fingern.
											Ich erkläre Ihnen, was Sie mit Ihren Fingern machen sollen, ziemlich dasselbe.
											Aber ich will, dass Sie auch mit Ihren Augen
											denjenigen farbigen Ball verfolgen, den zu verfolgen ich Sie bitte.
									","
											Supongo que muchos de Uds. pasan mucho tiempo en la computadora.
											¿Bien? Lo que están haciendo es, hacen la, la, la,
											y obtienen esto. ¿Bien?
											Eso es exactamente lo que les voy a pedir que hagan
											pero de manera ligeramente diferente. Van a combinar las cosas.
											Quiero que hagan dedos.
											Les voy a decir qué hacer con los dedos, lo mismo.
											Pero quiero que con los ojos
											sigan las pelota del color que les diga.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											OK ? On y va.
											Donc, nous allons commencer par regarder la balle blanche
											et je vais vous dire quelle couleur suivre,
											et je vais aussi vous dire quoi faire avec vos doigts. OK ?
											Donc balle blanche et —
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt. Rose.
											Doigt, doigt, doigt, doigt, doigt, doigt, doigt, doigt. Vert.
											Doigt, doigt, doigt, doigt. Jaune.
											Doigt, doigt, doigt, rose ou doigt.
											Rose... doigt... doigt, doigt, doigt, doigt, doigt, doigt, doigt.
											Bien.
									","
											OK? Here we go.
											So, we're going to start off looking at the white ball —
											and I'm going to tell you which color,
											and I'm also going to tell you to go with your fingers. OK?
											So white ball and —
											finger, finger, finger, finger, finger, finger, finger, finger. Pink.
											Finger, finger, finger, finger, finger, finger, finger, finger. Green.
											Finger, finger, finger, finger. Yellow.
											Finger, finger, finger, pink or finger.
											Pink, finger, finger, finger, finger, finger, finger, finger.
											All right.
									","
											Tamam? Başlayalım.
											Evet, beyaz topa bakarak başlayacaksınız —
											ve size rengi söyleyeceğim,
											ve parmaklarınızla ne yapacağınızı da söyleyeceğim. Tamam?
											evet beyaz top ve —
											parmak, parmak, parmak, parmak, parmak, parmak, parmak, parmak. Pembe.
											Parmak, parmak, parmak, parmak, parmak, parmak, parmak, parmak. Yeşil.
											Parmak, parmak, parmak, parmak. Sarı.
											Parmak, parmak, parmak, pembe ve parmak.
											Pembe, parmak, parmak, parmak, parmak, parmak, parmak.
											Tamam.
									","
											OK? Los gehts.
											Wir fangen an, in dem wir auf den weissen Ball schauen -
											und ich werde Ihnen sagen, welche Farbe.
											und ich werde Ihnen auch befehlen, mit Ihren Fingern loszulegen. OK?
											Also, weisser Ball und -
											Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger. Rosa.
											Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger. Grün.
											Finger, Finger, Finger, Finger. Gelb.
											Finger, Finger, Finger, Finger, rosa oder Finger.
											Rosa, Finger, Finger, Finger, Finger, Finger, Finger, Finger, Finger.
											Sehr gut.
									","
											¿Bien? Aquí vamos.
											Vamos a comenzar siguiendo la pelota blanca...
											y les voy a decir que color
											y les voy a decir que sigan con sus dedos. ¿Bien?
											Así que la pelota blanca y...
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo. Rosa.
											Dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo. Verde.
											Dedo, dedo, dedo, dedo. Amarillo.
											Dedo, dedo, dedo, dedo, rosa o dedo.
											Rosa, dedo, dedo, dedo, dedo, dedo, dedo, dedo, dedo.
											Bueno.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Gülüşmeler)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Vous avez bien réussi ? Oui ? OK. La raison pour laquelle je voulais que vous le fassiez
											est que c'est ce à quoi sont vraiment confrontés la plupart des gens dans la vie,
											un moment d'apprentissage, un moment de défi.
											C'est un moment que vous n'arrivez pas à saisir.
											Pourquoi diable est-ce que je devrais apprendre ça ? OK ?
											Est-ce que ça a un rapport quelconque avec ma vie ?
											Voyez, je n'arrive pas à savoir - est-ce que c'est amusant ? Est-ce que c'est difficile ? Suis-je censé tricher ?
									","
											How did you do? Well? OK. The reason I wanted you to do this is
											because that's actually what most people face throughout their lives,
											a moment of learning, a moment of challenge.
											It's a moment that you can't make sense of.
											Why the hell should I learn this? OK?
											Does it really have anything to do with anything in my life?
											You know, I can't decipher — is it fun? Is it challenging? Am I supposed to cheat?
									","
											Nasıldı? İyi mi? Tamam. Bunu yapmanızı istememin sebebi
											bunun çoğu insanın yaşamları boyunca karşılaştıkları şey olması,
											bir öğrenme anı, bir zorlanma anı.
											anlam veremediğiniz bir an.
											Neden bunu öğrenmem gereksin ki?
											Bunun hayatımla herhangi bir şekilde bir ilgisi olabilir mi gerçekten?
											Çözemiyorum — eğlenceli mi? Zor mu? Hile yapabilir miyim?
									","
											Wie haben sie das gemacht? Gut? OK. Der Grund, dass ich Sie dies machen lassen wollte, ist folgender:
											Weil die meisten Menschen damit ihr ganzes Leben konfrontiert werden,
											Momente des Lernens, Momente der Herausforderung.
											Das sind Momente, die für Sie keinen Sinn machen.
											Warum zur Hölle sollen Sie dies lernen? OK?
											Hat dies wirklich irgendetwas mit meinem Leben zu tun?
											Wissen Sie, ich kann das nicht dechiffrieren- Macht es Spass? Ist es anspruchsvoll? Soll ich schummeln?
									","
											¿Cómo les fue? ¿Bien? Bueno. La razón por la que les pedí esto es porque
											es lo que la mayoría de la gente enfrenta durante el transcurso de su vida,
											un momento de aprendizaje, un momento de desafío.
											Un momento en que uno no entiende:
											¿Por qué diablos debería aprenderlo?
											¿Tiene esto algo que ver mínimamente con mi vida?
											Ya saben, no puedo descifrarlo... ¿es divertido? ¿un desafío? ¿debería hacer trampa?
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											N'est-ce pas, qu'est-ce que vous êtes censé faire ?
											Vous avez devant vous quelqu'un qui est le principe-même
											de faire ça toute sa vie. OK?
											Essayant de comprendre ce truc. Mais est-ce que ça vous mènera quelque part ?
											C'est juste un moment. C'est tout ce que c'est, un moment. OK ?
											Je vais changer de scénario un instant. Laissez-moi juste faire ça.
											Je n'ai pas besoin de musique. En parlant du temps dans un moment,
											il y a un numéro que j'ai récemment mis au point qui était justement là-dessus,
											un moment. Et ce que je fais en tant qu'artiste créatif
											c'est de développer des vocabulaires ou des langages d'objets en mouvement.
									","
											You know, what are you supposed to do?
											You've got somebody up here who is the operative principle
											of doing that for his whole life. OK?
											Trying to figure that stuff out. But is it going to get you anywhere?
											It's just a moment. That's all it is, a moment. OK?
											I'm going to change the script for one second. Just let me do this.
											I don't need music for it. Talking about time in a moment.
											There's a piece that I recently developed which was all about that,
											a moment. And what I do as a creative artist
											is I develop vocabularies or languages of moving objects.
									","
											Ne yapmanız gerekiyor?
											Burada, bunu yapmak hayatı boyunca
											işletim ilkesi olmuş biri duruyor. Tamam mı?
											Bunu anlamaya çalışın. Ancak sizi bir yere götürür mü?
											Sadece bir an. Tüm olan, bir andır. Anlıyor musunuz?
											Bir saniye için düzeni değiştireceğim. hadi bakalım.
											Bunun için müziğe ihtiyacım yok. Bir anın içinde zamandan bahsetmek.
											Yakın zamanda geliştirdiğim bir numara var, tamamen bununla ilgili,
											bir an. Ve bir yaratıcı sanatçı olarak yaptığım şey
											hareket eden nesnelerin sözcüklerini veya dillerini geliştiririm.
									","
											Wissen Sie was von Ihnen erwartet wird?
											Sie haben hier oben jemanden, der das operative Prinzip ist
											dies sein ganzes Leben zu tun, ok?
											Der sich solche Dinge ausdenkt. Aber bringt das Sie irgendwo hin?
											Es ist nur ein Augenblick. Das ist alles, ein Moment, ok?
											Ich werde jetzt das Script kurz ändern. Lassen Sie mich das einfach machen.
											Ich brauche keine Musik dafür. Reden über die Zeit in einem Moment.
											Es gibt eine Nummer, die ich kürzlich entwickelte, die genau darüber handelte,
											ein Moment. Und was ich als kreativer Künstler mache
											ist, die Wörter oder eine Sprache der bewegten Objekte zu entwickeln.
									","
											Ya saben, ¿qué se supone que uno debe hacer?
											Tienen a alguien aquí arriba que de esto
											ha hecho una elección de vida. ¿Bien?
											Que intenta descubrir esas cosas. Pero ¿me llevará a algo?
											Es sólo un momento. Eso es todo, un momento. ¿Bien?
											Voy a cambiar el guión por un segundo. Permítanme hacer esto.
											No necesito música para esto. Hablaré del tiempo en un momento.
											Recientemente desarrollé un número que habla de esto
											del momento. Como artista creativo
											desarrollo vocabularios o lenguajes de objetos en movimiento.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
